geolocation,report_counts,population,county_id,latitude,longitude
"South Creek, WA",0.0,2500.0,53053,46.9994,-122.3921
"Roslyn, WA",0.0,947.0,53037,47.2507,-121.0989
"Sprague, WA",0.0,441.0,53043,47.3048,-117.9713
"Gig Harbor, WA",12.0,9507.0,53053,47.3352,-122.5968
"Lake Cassidy, WA",0.0,3591.0,53061,48.0639,-122.092
"Tenino, WA",2.0,1830.0,53067,46.8537,-122.8607
"Jamestown, WA",0.0,289.0,53009,48.1229,-123.0911
"Three Lakes, WA",0.0,3390.0,53061,47.942,-121.9924
"Curlew Lake, WA",0.0,573.0,53019,48.7311,-118.6663
"Chain Lake, WA",0.0,4280.0,53061,47.9038,-121.9861
"Pateros, WA",0.0,701.0,53047,48.0536,-119.8994
"Rosburg, WA",0.0,385.0,53069,46.3076,-123.6344
"Parkland, WA",6.0,37019.0,53053,47.1417,-122.4376
"Birch Bay, WA",1.0,8642.0,53073,48.923,-122.7543
"Ashford, WA",0.0,162.0,53053,46.7537,-122.0113
"Navy Yard City, WA",0.0,3154.0,53035,47.5508,-122.6655
"Omak, WA",5.0,8130.0,53047,48.4228,-119.5159
"Farmington, WA",1.0,154.0,53075,47.0887,-117.0464
"Buckley, WA",1.0,4819.0,53053,47.1615,-122.02
"Cathcart, WA",0.0,2506.0,53061,47.8525,-122.1058
"Poulsbo, WA",5.0,10670.0,53035,47.7417,-122.6408
"Anacortes, WA",12.0,17955.0,53057,48.4878,-122.6292
"Maplewood, WA",0.0,5340.0,53053,47.3715,-122.5689
"Creston, WA",0.0,226.0,53043,47.7595,-118.52
"Rockford, WA",0.0,477.0,53063,47.4513,-117.1307
"Wishram, WA",0.0,438.0,53039,45.6599,-120.9698
"Centralia, WA",13.0,41643.0,53041,46.7225,-122.9695
"South Hill, WA",1.0,56379.0,53053,47.1203,-122.2848
"Longview Heights, WA",0.0,3678.0,53015,46.1796,-122.9577
"Erlands Point-Kitsap Lake, WA",0.0,2973.0,53035,47.5973,-122.7021
"Amboy, WA",1.0,2027.0,53011,45.9122,-122.4795
"St. John, WA",0.0,561.0,53075,47.0915,-117.5887
"Dallesport, WA",0.0,1739.0,53039,45.6316,-121.1749
"Ketron Island, WA",0.0,0.0,53053,47.1569,-122.6343
"Mesa, WA",0.0,503.0,53021,46.5737,-119.0013
"Fife, WA",5.0,10154.0,53053,47.2328,-122.3518
"Moses Lake North, WA",0.0,3787.0,53025,47.1949,-119.3186
"Chewelah, WA",3.0,2637.0,53065,48.2929,-117.7336
"Grayland, WA",1.0,756.0,53027,46.8304,-124.0898
"Kittitas, WA",3.0,1491.0,53037,46.9837,-120.4191
"Camano, WA",0.0,15989.0,53029,48.1865,-122.4708
"Monroe North, WA",0.0,1704.0,53061,47.883,-121.9882
"North Bonneville, WA",0.0,999.0,53059,45.6425,-121.9689
"Klickitat, WA",0.0,358.0,53039,45.818,-121.1626
"Loon Lake, WA",3.0,784.0,53065,48.0685,-117.6298
"Newport, WA",2.0,2635.0,53051,48.1788,-117.0545
"Mead, WA",0.0,6859.0,53063,47.7795,-117.35
"Cashmere, WA",1.0,4864.0,53007,47.5175,-120.4671
"Aberdeen Gardens, WA",1.0,283.0,53027,47.0587,-123.7791
"Ocean Shores, WA",7.0,5553.0,53027,46.9685,-124.1521
"Basin City, WA",0.0,1281.0,53021,46.5891,-119.1567
"Wilkeson, WA",5.0,507.0,53053,47.1034,-122.0495
"Meadow Glade, WA",0.0,2895.0,53011,45.7524,-122.5614
"Arlington Heights, WA",0.0,2826.0,53061,48.2119,-122.063
"Uniontown, WA",0.0,343.0,53075,46.5391,-117.0861
"Oakesdale, WA",2.0,442.0,53075,47.1305,-117.2465
"West Side Highway, WA",0.0,5902.0,53015,46.1841,-122.9178
"Conconully, WA",0.0,208.0,53047,48.5571,-119.7513
"Latah, WA",0.0,187.0,53063,47.2822,-117.1557
"Elma, WA",1.0,3092.0,53027,47.0055,-123.4112
"Tieton, WA",1.0,1294.0,53077,46.7026,-120.756
"Southworth, WA",0.0,2280.0,53035,47.5126,-122.5298
"Danville, WA",0.0,19.0,53019,48.9938,-118.5068
"Toppenish, WA",1.0,14441.0,53077,46.3807,-120.3125
"River Road, WA",0.0,952.0,53009,48.0677,-123.1276
"Geneva, WA",0.0,2632.0,53073,48.7461,-122.4064
"Yakima, WA",56.0,133233.0,53077,46.5923,-120.5496
"Moxee, WA",4.0,4032.0,53077,46.5638,-120.3968
"Edmonds, WA",24.0,42209.0,53061,47.8114,-122.3533
"Kalama, WA",5.0,3794.0,53015,46.0171,-122.8393
"Laurier, WA",0.0,0.0,53019,48.9974,-118.2248
"Vashon, WA",4.0,9635.0,53033,47.4122,-122.4726
"Country Homes, WA",0.0,5730.0,53063,47.7478,-117.4197
"Darrington, WA",0.0,1406.0,53061,48.2546,-121.6029
"Metaline Falls, WA",0.0,245.0,53051,48.8616,-117.3706
"Lyle, WA",0.0,548.0,53039,45.6956,-121.2805
"Cascade Valley, WA",0.0,1797.0,53025,47.1371,-119.3272
"Spangle, WA",0.0,307.0,53063,47.4299,-117.3812
"Methow, WA",0.0,78.0,53047,48.1289,-120.0056
"Waterville, WA",1.0,1198.0,53017,47.648,-120.0707
"Lake Roesiger, WA",1.0,657.0,53061,47.9839,-121.9129
"Milton, WA",0.0,8230.0,53053,47.2522,-122.3154
"Krupp, WA",0.0,50.0,53025,47.4105,-118.9886
"Alderton, WA",0.0,3303.0,53053,47.1718,-122.2192
"DuPont, WA",0.0,9487.0,53053,47.1079,-122.6496
"Edgewood, WA",3.0,11213.0,53053,47.2309,-122.2832
"North Puyallup, WA",0.0,1848.0,53053,47.2015,-122.2742
"Pacific Beach, WA",0.0,538.0,53027,47.215,-124.1967
"Manson, WA",6.0,1532.0,53007,47.8858,-120.1563
"Brewster, WA",2.0,2343.0,53047,48.1034,-119.7751
"Battle Ground, WA",11.0,20576.0,53011,45.7764,-122.5413
"Shoreline, WA",10.0,56189.0,53033,47.7564,-122.3426
"Cosmopolis, WA",1.0,1624.0,53027,46.9541,-123.7725
"Airway Heights, WA",2.0,8166.0,53063,47.6459,-117.5792
"Grandview, WA",4.0,18858.0,53077,46.2431,-119.9084
"Inchelium, WA",1.0,413.0,53019,48.3378,-118.2372
"Grand Coulee, WA",1.0,1042.0,53025,47.9391,-119.0031
"Union, WA",1.0,272.0,53045,47.3475,-123.0952
"Torboy, WA",0.0,48.0,53019,48.6772,-118.6689
"Kelso, WA",21.0,12130.0,53015,46.1248,-122.8909
